date,death,deathIncrease,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,positive,positiveIncrease,recovered,states,totalTestResults,totalTestResultsIncrease
8/15/2020,161343,1218,15891,9087,1881,44922,340998,61142772,689392,1663,2526,5317917,55810,1817332,56,71275175,864302
8/14/2020,160125,1219,15764,9277,2143,45860,339117,60453380,800395,1665,2549,5262107,57093,1795121,56,70410873,971576
8/13/2020,158906,1164,15629,9487,2651,47322,336974,59652985,848520,1649,2579,5205014,51621,1773505,56,69439297,1012831
8/12/2020,157742,1518,15524,9555,2988,48046,334323,58804465,437894,1629,2604,5153393,55894,1753994,56,68426466,550874
8/11/2020,156224,1323,15331,9136,2599,48620,331335,58366571,698850,1612,2415,5097499,55430,1713812,56,67875592,798086
8/10/2020,154901,435,15158,9216,1594,48761,328736,57667721,689946,1592,2533,5042069,41743,1669563,56,67077506,793731
8/9/2020,154466,614,15081,9307,862,48997,327142,56977775,666501,1578,2507,5000326,50153,1655695,56,66283775,778317
8/8/2020,153852,1084,15024,9662,1479,50071,326280,56311274,617176,1561,2566,4950173,53084,1641953,56,65505458,741112
8/7/2020,152768,1333,14925,9691,7992,51301,324801,55694098,720537,1549,2617,4897089,60836,1622789,56,64764346,893167
8/6/2020,151435,1248,14810,9994,2594,53221,316809,54973561,687923,1534,2718,4836253,53803,1597514,56,63871179,834237
8/5/2020,150187,1360,14687,9986,2123,53444,314215,54285638,643406,1524,2719,4782450,52464,1576782,56,63036942,787826
8/4/2020,148827,1239,14537,10207,4408,53440,312092,53642232,666958,1493,2701,4729986,51815,1528017,56,62249116,774602
8/3/2020,147588,536,14370,10230,1606,53524,307684,52975274,686211,1463,2659,4678171,49348,1512439,56,61474514,799660
8/2/2020,147052,494,14288,10415,831,54106,306078,52289063,643902,1448,2645,4628823,46510,1467653,56,60674854,750096
8/1/2020,146558,1192,14227,10450,2366,54554,305247,51645161,676504,1445,2698,4582313,60245,1460930,56,59924758,825450
7/31/2020,145366,1313,14044,10472,2533,55700,302881,50968657,657304,1437,2703,4522068,67530,1437182,56,59099308,996707
7/30/2020,144053,1248,13875,10523,3279,56565,300348,50311353,735329,1415,2760,4454538,68806,1413102,56,58102601,890948
7/29/2020,142805,1491,13744,10539,2868,57427,297069,49576024,764452,1400,2772,4385732,63941,1389701,56,57211653,906258
7/28/2020,141314,1128,13559,10463,4051,57178,294201,48811572,712360,1372,2752,4321791,58984,1354538,56,56305395,852157
7/27/2020,140186,1065,13412,10328,1671,58991,290150,48099212,701959,1356,2720,4262807,55014,1324925,56,55453238,824570
7/26/2020,139121,560,13343,10353,1380,58731,288479,47397253,776755,1336,2723,4207793,60123,1296974,56,54628668,893264
7/25/2020,138561,1005,13279,10380,1811,59382,287099,46620498,716726,1300,2729,4147670,64376,1278557,56,53735404,880694
7/24/2020,137556,1192,13182,10395,3040,59808,285288,45903772,852820,1297,2711,4083294,74854,1260741,56,52854710,1003121
7/23/2020,136364,1061,12933,10414,2378,59854,282248,45050952,768937,1280,2465,4008440,71225,1232403,56,51851589,907908
7/22/2020,135303,1134,12790,10457,2246,59752,279870,44282015,731929,1258,2440,3937215,69346,1210067,56,50943681,884346
7/21/2020,134169,1069,12629,6711,2510,59480,277624,43550086,680386,1242,2414,3867869,63625,1182158,56,50059335,810754
7/20/2020,133100,369,12475,6557,1623,58509,275114,42869700,653991,1223,2403,3804244,56936,1159320,56,49248581,760463
7/19/2020,132731,527,12393,6384,888,58052,273491,42215709,715902,1216,2362,3747308,63715,1130378,56,48488118,842553
7/18/2020,132204,873,12342,6397,1976,57822,272603,41499807,688479,1211,2343,3683593,64423,1121981,56,47645565,843393
7/17/2020,131331,936,12243,6452,2480,57894,270627,40811328,758135,1200,2353,3619170,76218,1106096,56,46802172,910758
7/16/2020,130395,953,12091,6359,2195,57614,268147,40053193,758237,1175,2317,3542952,70449,1089922,56,45891414,901382
7/15/2020,129442,860,12002,6317,2404,56312,265952,39294956,704403,1166,2317,3472503,65618,1075159,56,44990032,845306
7/14/2020,128582,739,11857,6235,2212,55667,263548,38590553,703495,1154,2263,3406885,62734,1048400,56,44144726,814100
7/13/2020,127843,331,11749,6074,1174,54156,261336,37887058,632899,1142,2259,3344151,57603,1031219,56,43330626,759836
7/12/2020,127512,474,11679,5930,894,52860,260162,37254159,702220,1136,2182,3286548,60972,1005644,56,42570790,823811
7/11/2020,127038,752,11612,5939,5070,51982,259268,36551939,632460,1128,2169,3225576,62324,994923,56,41746979,757685
7/10/2020,126286,822,11523,5896,2207,51740,254198,35919479,745963,1118,2197,3163252,66824,982521,56,40989294,888512
7/9/2020,125464,900,11370,5845,1654,44055,251991,35173516,652431,1138,2127,3096428,58959,968441,56,40100782,769300
7/8/2020,124564,812,11303,5874,1888,43204,250337,34521085,578922,1103,2172,3037469,62736,952731,56,39331482,708221
7/7/2020,123752,905,11177,5832,1936,41957,248449,33942163,582254,1084,2098,2974733,51742,935850,56,38623261,682623
7/6/2020,122847,266,11058,5687,818,39970,246513,33359909,473004,1070,2105,2922991,41494,923481,56,37940638,646440
7/5/2020,122581,207,11010,5653,582,38872,245695,32886905,626205,1064,2080,2881497,45167,901881,56,37294198,687116
7/4/2020,122374,300,10977,5633,872,38281,245113,32260700,575143,1063,1982,2836330,54144,893652,56,36607082,659445
7/3/2020,122074,602,10936,5597,1344,37927,244241,31685557,648802,1059,2049,2782186,53688,883025,56,35947637,731009
7/2/2020,121472,696,10843,5626,1694,37627,242897,31036755,613444,1041,2105,2728498,53508,874530,56,35216628,705717
7/1/2020,120776,689,10752,5512,1433,36569,241203,30423311,593506,1027,2098,2674990,51001,822580,56,34510911,669383
6/30/2020,120087,584,10669,5424,1483,35335,239770,29829805,578183,1008,2044,2623989,47630,813219,56,33841528,663484
6/29/2020,119503,358,10542,5380,734,33744,238287,29251622,613360,990,2011,2576359,39765,797723,56,33178044,677375
6/28/2020,119145,271,10473,5252,547,32575,237553,28638262,541568,983,2077,2536594,41332,777667,56,32500669,606962
6/27/2020,118874,502,10415,5314,1048,32566,237006,28096694,554458,977,2159,2495262,42893,771895,56,31893707,631529
6/26/2020,118372,624,10334,5283,1546,31810,235958,27542236,563044,966,2075,2452369,44379,763402,56,31262178,741141
6/25/2020,117748,663,10257,5320,1279,31926,234412,26979192,602840,951,2214,2407990,39681,756120,56,30521037,649938
6/24/2020,117085,707,10173,5293,1255,31271,233133,26376352,491927,934,2248,2368309,39009,747031,56,29871099,507529
6/23/2020,116378,725,10077,5402,1262,30394,231878,25884425,468011,918,2293,2329300,33885,738454,56,29363570,644852
6/22/2020,115653,294,10002,5323,847,28954,230616,25416414,450285,909,2299,2295415,27179,731021,56,28718718,498134
6/21/2020,115359,293,9944,5195,519,28325,229769,24966129,492466,904,2321,2268236,28848,712904,56,28220584,531461
6/20/2020,115066,611,9908,5229,686,28084,229250,24473663,529679,888,2380,2239388,31951,708341,56,27689123,577727
6/19/2020,114455,656,9876,5341,1587,28706,228564,23943984,559466,884,2434,2207437,30959,697556,56,27111396,613187
6/18/2020,113799,693,9736,5464,1095,28521,226977,23384518,484106,869,2520,2176478,27089,690166,56,26498209,535785
6/17/2020,113106,794,9665,5612,1081,28664,225882,22900412,466664,857,2588,2149389,23906,680432,56,25962424,522443
6/16/2020,112312,706,9590,5570,1173,28386,224801,22433748,442884,845,2594,2125483,23268,671680,56,25439981,484041
6/15/2020,111606,406,9516,5703,688,28026,223628,21990864,412838,835,2640,2102215,18654,664469,56,24955940,446893
6/14/2020,111200,355,9466,5749,610,28020,222940,21578026,460733,834,2716,2083561,21333,649974,56,24509047,481830
6/13/2020,110845,690,9430,5883,943,28578,222330,21117293,481992,830,2726,2062228,25245,644787,56,24027217,523604
6/12/2020,110155,763,9373,6017,1380,29309,221387,20635301,592450,814,2734,2036983,23096,635522,56,23503613,596104
6/11/2020,109392,899,9295,6074,1527,29844,220007,20042851,438708,792,2886,2013887,22071,628050,56,22907509,479041
6/10/2020,108493,884,9225,6249,1237,30952,218480,19604143,411650,780,3020,1991816,20727,617695,56,22428468,448038
6/9/2020,107609,901,9141,6457,1263,31187,217243,19192493,401933,771,3090,1971089,17151,609256,56,21980430,444494
6/8/2020,106708,676,9013,6402,1095,31121,215980,18790560,377092,762,3240,1953938,17230,602715,56,21535936,410150
6/7/2020,106032,446,8957,6501,655,31490,214885,18413468,406291,753,3298,1936708,18818,590504,56,21125786,424559
6/6/2020,105586,711,8920,6762,982,31994,214230,18007177,521566,750,3476,1917890,22558,585047,56,20701227,558266
6/5/2020,104875,844,8863,6920,1513,32499,213248,17485611,484077,740,3523,1895332,23066,575917,56,20142961,589185
6/4/2020,104031,864,8787,7057,-2849,32814,211735,17001534,444547,723,3665,1872266,20383,569233,56,19553776,494516
6/3/2020,103167,980,8688,7227,2145,33237,214584,16556987,451466,717,3749,1851883,20155,556949,56,19059260,471418
6/2/2020,102187,1000,8566,7407,1736,33950,212439,16105521,399574,710,3852,1831728,20155,541613,56,18587842,440591
6/1/2020,101187,671,8485,7591,2858,34316,210703,15705947,389205,704,3950,1811573,20362,535950,56,18147251,412903
5/31/2020,100516,651,8445,7626,896,34911,207845,15316742,375413,704,3669,1791211,21392,522456,56,17734348,421672
5/30/2020,99865,918,8305,7956,1425,35735,206949,14941329,402887,698,4004,1769819,23437,494308,56,17312676,443339
5/29/2020,98947,1169,8235,8174,1565,36948,205524,14538442,467472,689,4032,1746382,23588,484191,56,16869337,513087
5/28/2020,97778,1242,8109,8389,1596,38003,203959,14070970,421569,676,4080,1722794,22659,477794,56,16356250,465426
5/27/2020,96536,1316,8015,8547,1563,38297,202363,13649401,286701,666,4222,1700135,19411,391223,56,15890824,414254
5/26/2020,95220,672,7899,8585,17287,37775,200800,13362700,287429,650,4215,1680724,16978,384609,56,15476570,314228
5/25/2020,94548,554,7847,8467,901,37711,183513,13075271,409673,642,4237,1663746,18531,378892,56,15162342,423440
5/24/2020,93994,684,7801,8485,1027,37757,182612,12665598,350629,639,4383,1645215,18860,366510,56,14738902,356595
5/23/2020,93310,1035,7770,8733,1383,38581,181585,12314969,375490,638,4620,1626355,22365,361116,56,14382307,420243
5/22/2020,92275,1303,7689,9049,3945,40014,180202,11939479,383111,633,4716,1603990,24173,349936,56,13962064,408875
5/21/2020,90972,1427,7412,9090,4547,41347,176257,11556368,439808,616,4868,1579817,26742,298183,56,13553189,495347
5/20/2020,89545,1390,7319,9521,1759,41871,171710,11116560,392713,613,4911,1553075,21259,294133,56,13057842,438750
5/19/2020,88155,1332,7217,9598,1549,42023,169951,10723847,379946,606,5032,1531816,20882,289283,56,12619092,397033
5/18/2020,86823,889,7064,9754,1133,41921,168402,10343901,334147,602,5257,1510934,20844,282949,56,12222059,364374
5/17/2020,85934,850,7003,9934,1130,42022,167269,10009754,350914,593,5467,1490090,20152,272009,56,11857685,343877
5/16/2020,85084,1195,6945,10278,1798,43507,166139,9658840,336869,592,5529,1469938,23586,268206,56,11513808,369919
5/15/2020,83889,1263,6890,10484,1313,44551,164341,9321971,335441,589,5746,1446352,25422,250665,56,11143889,405544
5/14/2020,82626,1852,6795,10655,3162,45924,163028,8986530,338429,582,5940,1420930,26713,246231,56,10738345,383452
5/13/2020,80774,1734,6713,10990,1791,46918,159866,8648101,301615,572,6156,1394217,21628,243359,56,10354893,334575
5/12/2020,79040,1506,6585,11240,1483,47344,158075,8346486,288723,559,6352,1372589,22558,238863,56,10020318,324832
5/11/2020,77534,894,6488,11148,1369,46550,156592,8057763,357001,551,6350,1350031,18298,232012,56,9695486,388884
5/10/2020,76640,1032,6445,11393,1048,46760,155223,7700762,244495,547,6395,1331733,20890,215479,56,9306602,263218
5/9/2020,75608,1456,6367,11496,1669,48561,154175,7456267,270642,543,6551,1310843,25180,211899,56,9043384,306812
5/8/2020,74152,1781,6294,11780,6240,49758,152506,7185625,272051,531,6788,1285663,27159,198423,56,8736572,305133
5/7/2020,72371,2752,5174,12136,4176,51425,146266,6913574,274260,529,7070,1258504,27227,194375,56,8431439,316062
5/6/2020,69619,1916,4911,12478,2159,52581,142090,6639314,225939,449,4753,1231277,25143,189399,56,8115377,277283
5/5/2020,67703,2494,4794,12628,1936,53176,139931,6413375,247678,439,4818,1206134,22512,189316,56,7838094,273837
5/4/2020,65209,1028,4579,12696,1772,52377,137995,6165697,209837,430,4848,1183622,22501,186670,56,7564257,238928
5/3/2020,64181,1243,4502,12720,1854,52619,136223,5955860,209546,425,4761,1161121,25540,179614,56,7325329,228928
5/2/2020,62938,1531,4386,12905,1986,54009,134369,5746314,217099,375,4845,1135581,29034,174886,56,7096401,270061
5/1/2020,61407,1808,4300,12845,9878,54862,132383,5529215,266135,376,4707,1106547,32802,163554,56,6826340,283213
4/30/2020,59599,2153,4192,13255,2376,54921,122505,5263080,203587,373,4712,1073745,29971,154587,56,6543127,266567
4/29/2020,57446,2685,4093,13535,2961,55987,120129,5059493,213057,365,4796,1043774,26226,147234,56,6276560,251223
4/28/2020,54761,2077,3798,13562,2006,56034,117168,4846436,183429,252,4760,1017548,25372,139080,56,6025337,209925
4/27/2020,52684,1287,3720,13812,2243,56183,115162,4663007,169886,252,4867,992176,22595,121464,56,5815412,199821
